"Dove","Regione","Elettori","Votanti","Percentuale votanti","Schede nulle","Schede bianche","Schede contestate","Coalizioni e liste","Voti","Percentuale voti","Seggi","Candidati uninominali eletti","Totale"
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"PIUEUROPA",61982,"3.44",NA,NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO",9157,"0.51",NA,NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"MOVIMENTO 5 STELLE",266034,"14.76","2",NA,2
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"AZIONE - ITALIA VIVA - CALENDA",169751,"9.42","2",NA,2
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"UNIONE POPOLARE CON DE MAGISTRIS",32907,"1.83",NA,NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"ITALEXIT PER L'ITALIA",27991,"1.55",NA,NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"ITALIA SOVRANA E POPOLARE",22827,"1.27",NA,NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"VITA",9351,"0.52",NA,NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"ALTERNATIVA PER L'ITALIA - NO GREEN PASS",2339,"0.13",NA,NA,NA
"CAMERA","LAZIO 1",2867859,1844622,64.32,35605,14636,219,"PARTITO DELLA FOLLIA CREATIVA",1418,"0.08",NA,NA,NA
"CAMERA","LAZIO 2",1483335,938898,63.3,25808,13225,63,"FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC",481850,"53.22","4",5,9
"CAMERA","LAZIO 2",1483335,938898,63.3,25808,13225,63,"FRATELLI D'ITALIA CON GIORGIA MELONI",305233,"33.71","2",NA,NA
"CAMERA","LAZIO 2",1483335,938898,63.3,25808,13225,63,"FORZA ITALIA",91779,"10.14","1",NA,NA
"CAMERA","LAZIO 2",1483335,938898,63.3,25808,13225,63,"LEGA PER SALVINI PREMIER",80614,"8.9","1",NA,NA
